Name	Address	Public
_Target_type(void)	00000001402FFFE0	
ActorGoalDefinition<WorkComposterDefinition,WorkComposterGoal>::_initialize(WorkComposterDefinition const &,EntityRegistry &,EntityContext &)	000000014030B800	
WorkComposterGoal::_tryCompostItems(void)	000000014030E160	
WorkComposterGoal::_tryEmptyComposter(void)	000000014030E500	
ActorGoalDefinition<WorkComposterDefinition,WorkComposterGoal>::_uninitialize(WorkComposterDefinition const &,EntityRegistry &,EntityContext &)	0000000140310920	
WorkComposterDefinition::buildSchema(std::basic_string<char,std::char_traits<char>,std::allocator<char>> const &,std::shared_ptr<JsonUtil::JsonSchemaObjectNode<JsonUtil::EmptyClass,WorkComposterDefinition>> &)	0000000140313720	
DefinitionInstance<WorkComposterDefinition>::getDefinitionTypeId(void)	00000001403181D0	
ActorGoalDefinition<WorkComposterDefinition,WorkComposterGoal>::getRuntimeTypeId(void)	000000014031A150	
WorkComposterGoal::start(void)	0000000140320CE0	
WorkComposterGoal::useWorkstation(void)	0000000140323400	
Hopper::_tryPushToComposter(BlockSource &,Container &,BlockPos,int)	0000000141539F60	
ComposterBlock::ComposterBlock(std::basic_string<char,std::char_traits<char>,std::allocator<char>> const &,int)	000000014194ECE0	
ComposterBlock::_emitBoneMeal(Level &,BlockSource &,BlockPos const &)	0000000141950080	
ComposterBlock::_getCompostableItems(void)	0000000141950640	
ComposterBlock::_notifyClientComposterUse
d(Player const &,short,MinecraftEventing::POIBlockInteractionType)	0000000141951410	
ComposterBlock::addAABBs(Block const &,BlockSource const &,BlockPos const &,AABB const *,std::vector<AABB,std::allocator<AABB>> &)	0000000141951A00	
ComposterBlock::addItem(Container &,int,ItemStack &,BlockSource &,Block const &,BlockPos const &)	0000000141951DD0	
ComposterBlock::addItems(ItemStack const &,int,BlockSource &,Block const &,BlockPos const &)	0000000141951E60	
ComposterBlock::addItems(Container &,int,ItemStack &,int,BlockSource &,Block const &,BlockPos const &)	0000000141952260	
ComposterBlock::breaksFallingBlocks(Block const &,BaseGameVersion)	0000000141952B40	
ComposterBlock::canProvideSupport(Block const &,uchar,BlockSupportType)	00000001419537D0	
